"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","total_waste_received","waste_received_from_producer","waste_received_from_other_producer","waste_received_from_collector","waste_received_from_processing_operator","waste_received_from_other_EU_country","waste_received_from_other_country_outside_EU"
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",5025.641,0,2412.625,686.61,1926.406,0,0
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1261.31,0,357.81,903.5,0,0,0
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",4994.794,0,456.79,239.38,4011.334,146.56,140.73
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",55207.489,0,14548.067,35786.712,2710.82,2161.89,0
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",12150.1,0,3677.36,4330.9,4141.84,0,0
2019,"KOMTEKS, zbiranje in odkup sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1042.742,0,793.342,249.4,0,0,0
2019,"KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.","PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",28.86,0,28.86,0,0,0,0
2019,"KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",25.95,0,25.95,0,0,0,0
2019,"KOMUNALA TREBNJE d.o.o.","JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",355.08,210.86,0,144.22,0,0,0
2019,"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4.69,2.43,0,2.26,0,0,0
2019,"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",344.929,0.26,0,344.669,0,0,0
2019,"KONITEX proizvodnja in predelava celuloznih materialov in regeneriranega usnja d.o.o.","SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",986.6,0,0,0,0,986.6,0
2019,"KONITEX proizvodnja in predelava celuloznih materialov in regeneriranega usnja d.o.o.","SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",194.94,0,0,0,194.94,0,0
2019,"KOSTANJ proizvodno podjetje d.o.o., Celje","SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",17.98,0,0,17.98,0,0,0
2019,"KOSTANJ proizvodno podjetje d.o.o., Celje","SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",5689.76,0,0,1879.86,3809.9,0,0
2019,"KOSTANJ proizvodno podjetje d.o.o., Celje","SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",411.38,0,180.68,230.7,0,0,0
2019,"KOSTANJ proizvodno podjetje d.o.o., Celje","SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1133.96,0,88.72,886,159.24,0,0
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2465.469,0,740.615,1326.785,398.069,0,0
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2.88,0,0,2.88,0,0,0
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",84.25,0,0,0,84.25,0,0
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",484.53,0,332.05,152.48,0,0,0
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",995.023,0,455.04,539.983,0,0,0
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1480.91,0,1480.91,0,0,0,0
2019,"LEPENKA TRGOVINA, prodaja in proizvodnja d.o.o.","GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",88.925,0,0,20.525,0,5.5,62.9
2019,"LEPENKA TRGOVINA, prodaja in proizvodnja d.o.o.","GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",1350.085,0,193.429,132.274,385.392,638.99,0
2019,"LESNA VRATA proizvodnja in trgovina stavbnega pohištva d.o.o.","KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",300,300,0,0,0,0,0
2019,"Lek farmacevtska družba d.d.","POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0.411,0.411,0,0,0,0,0
2019,"MARINSON peleti, posredništvo in izdelava, Katarina Kralj Marinček s.p.","OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",95.2,0,95.2,0,0,0,0
2019,"MIZARSTVO KOVAČ podjetje za obdelavo lesa in trgovino, d.o.o. Ljubija 55 Mozirje","SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",137.83,0,0,38.68,99.15,0,0
2019,"ODPAD, zbiranje in predelava sekundarnih surovin ter trgovina d.o.o. Pivka","PRIMORSKO-NOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",276.71,0,163.41,0,0,113.3,0
2019,"ODPAD, zbiranje in predelava sekundarnih surovin ter trgovina d.o.o. Pivka","PRIMORSKO-NOTRANJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",32.24,0,32.24,0,0,0,0
2019,"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",70,0,70,0,0,0,0
2019,"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",15,0,15,0,0,0,0
2019,"PAPIRNICA VEVČE PROIZVODNJA d.o.o.","OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",6665.661,0,0,0,0,5289.872,1375.789
2019,"PAPIRNICA VEVČE d.o.o.","OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",329.257,0,0,0,0,208.804,120.453
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1302.654,0,1302.654,0,0,0,0
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",169.23,0,169.23,0,0,0,0
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",729.13,0,729.13,0,0,0,0
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2154.54,0,137.26,0,2017.28,0,0
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1966.31,0,1966.31,0,0,0,0
2019,"Paloma, higienski papirji, d.d.","PODRAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",60.31,0,0,0,0,60.31,0
2019,"Paloma, higienski papirji, d.d.","PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",3033.96,0,0,270.1,530.98,2232.88,0
2019,"Paloma, higienski papirji, d.d.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1449.34,0,0,21,0,1428.34,0
2019,"RDB Plastics, družba za zbiranje in odvoz odpadkov, d.o.o.","OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",345.78,0,0,0,0,345.78,0
2019,"REMATOM, storitve in trgovina, d.o.o., Ljubljana - Dobrunje","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",20.12,0,20.12,0,0,0,0
2019,"REMATOM, storitve in trgovina, d.o.o., Ljubljana - Dobrunje","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",8.9,0,8.9,0,0,0,0
2019,"ROKS recikliranje in predelava organskih odpadkov d.o.o.","OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",9,0,0,9,0,0,0
2019,"ROKS recikliranje in predelava organskih odpadkov d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",76.9,0,0,76.9,0,0,0
2019,"ROKS recikliranje in predelava organskih odpadkov d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",39.15,0,27.35,11.8,0,0,0
2019,"ROKS recikliranje in predelava organskih odpadkov d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3205.65,0,2187.23,1018.42,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",695.836,0,595.216,100.62,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",49.869,0,49.869,0,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","JUGOVZHODNA SLOVENIJA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",43.92,0,0,0,0,43.92,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",301.97,0,257.65,0,0,44.32,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",21.85,0,21.85,0,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",9985.415,0,8677.074,1136.205,27.856,0,144.28
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",24.792,0,24.792,0,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",496.49,65.507,88.87,19.998,35.755,286.36,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6991.576,2269.966,2643.186,1975.599,0,102.825,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0.56,0,0.56,0,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","PODRAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",230.258,0,230.258,0,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1996.343,0,1331.299,256.664,408.38,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",185.361,0,160.301,25.06,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",482.57,94.6,0,0,20.08,203.28,164.61
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3382.915,0,2610.475,643.74,60.04,68.66,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",27.48,0,27.48,0,0,0,0
2019,"SALOMON d.o.o., podjetje za zaposlovanje invalidov, proizvodnjo, posredovanje in storitve Ljubljana","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",123.542,0,123.542,0,0,0,0
2019,"SALONIT ANHOVO Gradbeni materiali, d.d.","GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",10.98,0,10.98,0,0,0,0
2019,"SALONIT ANHOVO Gradbeni materiali, d.d.","GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",16.28,0,0,0,0,16.28,0
2019,"SALONIT ANHOVO Gradbeni materiali, d.d.","GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",16.96,7.47,9.49,0,0,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",101.1,0,101.1,0,0,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",0.06,0,0.06,0,0,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1163.662,0.875,919.967,14.47,228.35,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",131.069,1.109,126.8,3.16,0,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",42.61,0,33.49,9.12,0,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",304.01,0,304.01,0,0,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",660.41,0,135.19,512.24,12.98,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2195.08,1.253,2170.079,20.748,3,0,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1528.632,0,1194.372,19.38,314.88,0,0
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",4.3,0,4.3,0,0,0,0
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",765.291,0,30.28,735.011,0,0,0
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",21.46,0,21.46,0,0,0,0
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1942.451,0,0,1942.451,0,0,0
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",975.617,0,16.66,958.957,0,0,0
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",16211.886,0,1068.79,12493.036,2650.06,0,0
2019,"SNAGA Javno podjetje d.o.o.","OSREDNJESLOVENSKA","02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste",8.8,0,8.8,0,0,0,0
2019,"SNAGA Javno podjetje d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",9.78,0,9.78,0,0,0,0
2019,"SNAGA Javno podjetje d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1654.08,0,1654.08,0,0,0,0
2019,"SNAGA Javno podjetje d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3439.24,0,2520.08,741.02,178.14,0,0
2019,"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2371.14,0,0,2371.14,0,0,0
2019,"SPOKS težka gradbena mehanizacija d.o.o.","PRIMORSKO-NOTRANJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",29.66,0,29.66,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2661.648,0,2378.555,283.093,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",680.553,0,680.553,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1.06,0,1.06,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",4.96,0,4.96,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",899.877,0,848.912,50.965,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",95.44,0,16.86,78.58,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",373.566,0,373.566,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1645.549,0,1135.499,510.05,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",520.395,0,510.915,9.48,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",76.64,0,76.64,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",25.46,0,25.46,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",548.046,0,516.506,31.54,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",22.08,0,22.08,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",8.99,0,8.99,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",948.602,0,825.978,122.624,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",751.231,0,725.187,23.564,2.48,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",14.24,0,14.24,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",8.52,0,8.52,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",238.32,0,238.32,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",47.224,0,47.224,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",15.88,0,15.88,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",19.82,0,19.82,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1364.66,0,1364.66,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1265.055,0,1005.059,259.996,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",135.858,0,135.858,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",177.018,0,0,0,177.018,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",909.409,0.15,900.339,8.92,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",369.149,0,319.199,49.95,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1763.866,0,1410.071,353.795,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",391.569,0,386.789,4.78,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",15.18,0,15.18,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",22.65,0,0,0,0,22.65,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",81.646,0,70.846,10.8,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1062.61,0,1062.61,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2.54,0,2.54,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",107.42,0,103.23,4.19,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",8275.839,0,7117.008,944.882,213.949,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1881.836,0,1780.486,101.35,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",54.242,0,54.242,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",69.223,0,2.206,0,67.017,0,0
