year,statistical_region,name_of_municipality,type_of_waste,total_waste_collected
2020,POSAVSKA,BISTRICA OB SOTLI,Paper and Cardboard Packaging (15 01 01),6.8
2020,POSAVSKA,BISTRICA OB SOTLI,Paper and Cardboard from Municipal Waste (20 01 01),11.38
2020,POSAVSKA,BISTRICA OB SOTLI,Wooden Packaging (15 01 03),0.005
2020,POSAVSKA,BREŽICE,Bulky Municipal Waste (20 03 07),3.34
2020,POSAVSKA,BREŽICE,Non-hazardous Wood from Municipal Waste (20 01 38),19.554
2020,POSAVSKA,BREŽICE,Paper and Cardboard Packaging (15 01 01),569.633
2020,POSAVSKA,BREŽICE,Paper and Cardboard from Municipal Waste (20 01 01),358.464
2020,POSAVSKA,BREŽICE,Wooden Packaging (15 01 03),90.618
2020,POSAVSKA,KOSTANJEVICA NA KRKI,Bulky Municipal Waste (20 03 07),5.68
2020,POSAVSKA,KOSTANJEVICA NA KRKI,Non-hazardous Wood from Municipal Waste (20 01 38),29.12
2020,POSAVSKA,KOSTANJEVICA NA KRKI,Paper and Cardboard Packaging (15 01 01),59.013
2020,POSAVSKA,KRŠKO,Bulky Municipal Waste (20 03 07),279.2
2020,POSAVSKA,KRŠKO,Non-hazardous Wood from Municipal Waste (20 01 38),975.42
2020,POSAVSKA,KRŠKO,Paper and Cardboard Packaging (15 01 01),943.195
2020,POSAVSKA,KRŠKO,Paper and Cardboard from Municipal Waste (20 01 01),1023.918
2020,POSAVSKA,KRŠKO,Wooden Packaging (15 01 03),54.609
2020,POSAVSKA,RADEČE,Bulky Municipal Waste (20 03 07),93.4
2020,POSAVSKA,RADEČE,Non-hazardous Wood from Municipal Waste (20 01 38),81.5
2020,POSAVSKA,RADEČE,Paper and Cardboard Packaging (15 01 01),242.394
2020,POSAVSKA,RADEČE,Paper and Cardboard from Municipal Waste (20 01 01),89.791
2020,POSAVSKA,RADEČE,Wooden Packaging (15 01 03),0.45
2020,POSAVSKA,SEVNICA,Bulky Municipal Waste (20 03 07),140.4
2020,POSAVSKA,SEVNICA,Non-hazardous Wood from Municipal Waste (20 01 38),262.64
2020,POSAVSKA,SEVNICA,Paper and Cardboard Packaging (15 01 01),367.135
2020,POSAVSKA,SEVNICA,Paper and Cardboard from Municipal Waste (20 01 01),190.841
2020,POSAVSKA,SEVNICA,Wooden Packaging (15 01 03),48.268
2020,PRIMORSKO-NOTRANJSKA,BLOKE,Bulky Municipal Waste (20 03 07),45.62
2020,PRIMORSKO-NOTRANJSKA,BLOKE,Non-hazardous Wood from Municipal Waste (20 01 38),7.72
2020,PRIMORSKO-NOTRANJSKA,BLOKE,Paper and Cardboard Packaging (15 01 01),22.427
2020,PRIMORSKO-NOTRANJSKA,CERKNICA,Bulky Municipal Waste (20 03 07),278.994
2020,PRIMORSKO-NOTRANJSKA,CERKNICA,Non-hazardous Wood from Municipal Waste (20 01 38),427.862
2020,PRIMORSKO-NOTRANJSKA,CERKNICA,Paper and Cardboard Packaging (15 01 01),84.267
2020,PRIMORSKO-NOTRANJSKA,CERKNICA,Paper and Cardboard from Municipal Waste (20 01 01),231.815
2020,PRIMORSKO-NOTRANJSKA,CERKNICA,Wooden Packaging (15 01 03),93.38
2020,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Bulky Municipal Waste (20 03 07),439.61
2020,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Non-hazardous Wood from Municipal Waste (20 01 38),159.75
2020,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Paper and Cardboard Packaging (15 01 01),179.133
2020,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Paper and Cardboard from Municipal Waste (20 01 01),120.455
2020,PRIMORSKO-NOTRANJSKA,ILIRSKA BISTRICA,Wooden Packaging (15 01 03),2.9
2020,PRIMORSKO-NOTRANJSKA,LOŠKA DOLINA,Bulky Municipal Waste (20 03 07),92.998
2020,PRIMORSKO-NOTRANJSKA,LOŠKA DOLINA,Non-hazardous Wood from Municipal Waste (20 01 38),142.622
2020,PRIMORSKO-NOTRANJSKA,LOŠKA DOLINA,Paper and Cardboard Packaging (15 01 01),59.511
2020,PRIMORSKO-NOTRANJSKA,LOŠKA DOLINA,Paper and Cardboard from Municipal Waste (20 01 01),55.249
2020,PRIMORSKO-NOTRANJSKA,LOŠKA DOLINA,Wooden Packaging (15 01 03),22.56
2020,PRIMORSKO-NOTRANJSKA,PIVKA,Bulky Municipal Waste (20 03 07),278.506
2020,PRIMORSKO-NOTRANJSKA,PIVKA,Non-hazardous Wood from Municipal Waste (20 01 38),112.45
2020,PRIMORSKO-NOTRANJSKA,PIVKA,Paper and Cardboard Packaging (15 01 01),183.12
2020,PRIMORSKO-NOTRANJSKA,PIVKA,Paper and Cardboard from Municipal Waste (20 01 01),70.06
2020,PRIMORSKO-NOTRANJSKA,PIVKA,Wooden Packaging (15 01 03),8.47
2020,PRIMORSKO-NOTRANJSKA,POSTOJNA,Bulky Municipal Waste (20 03 07),625.01
2020,PRIMORSKO-NOTRANJSKA,POSTOJNA,Non-hazardous Wood from Municipal Waste (20 01 38),397.98
2020,PRIMORSKO-NOTRANJSKA,POSTOJNA,Paper and Cardboard Packaging (15 01 01),316.88
2020,PRIMORSKO-NOTRANJSKA,POSTOJNA,Paper and Cardboard from Municipal Waste (20 01 01),197.645
2020,PRIMORSKO-NOTRANJSKA,POSTOJNA,Wooden Packaging (15 01 03),1.78
2020,SAVINJSKA,BRASLOVČE,Bulky Municipal Waste (20 03 07),369.645
2020,SAVINJSKA,BRASLOVČE,Non-hazardous Wood from Municipal Waste (20 01 38),56.792
2020,SAVINJSKA,BRASLOVČE,Paper and Cardboard Packaging (15 01 01),21.398
2020,SAVINJSKA,BRASLOVČE,Paper and Cardboard from Municipal Waste (20 01 01),91.435
2020,SAVINJSKA,CELJE,Bulky Municipal Waste (20 03 07),2763.069
2020,SAVINJSKA,CELJE,Non-hazardous Wood from Municipal Waste (20 01 38),586.192
2020,SAVINJSKA,CELJE,Paper and Cardboard Packaging (15 01 01),853.0250000000001
2020,SAVINJSKA,CELJE,Paper and Cardboard from Municipal Waste (20 01 01),1470.257
2020,SAVINJSKA,CELJE,Wooden Packaging (15 01 03),64.88
2020,SAVINJSKA,DOBJE,Bulky Municipal Waste (20 03 07),41.216
2020,SAVINJSKA,DOBJE,Non-hazardous Wood from Municipal Waste (20 01 38),7.251
2020,SAVINJSKA,DOBJE,Paper and Cardboard Packaging (15 01 01),30.255
2020,SAVINJSKA,DOBJE,Paper and Cardboard from Municipal Waste (20 01 01),0.358
2020,SAVINJSKA,DOBRNA,Bulky Municipal Waste (20 03 07),228.306
2020,SAVINJSKA,DOBRNA,Non-hazardous Wood from Municipal Waste (20 01 38),28.958
2020,SAVINJSKA,DOBRNA,Paper and Cardboard Packaging (15 01 01),11.218
2020,SAVINJSKA,DOBRNA,Paper and Cardboard from Municipal Waste (20 01 01),57.445
2020,SAVINJSKA,GORNJI GRAD,Bulky Municipal Waste (20 03 07),49.008
2020,SAVINJSKA,GORNJI GRAD,Non-hazardous Wood from Municipal Waste (20 01 38),26.52
2020,SAVINJSKA,GORNJI GRAD,Paper and Cardboard Packaging (15 01 01),15.876
2020,SAVINJSKA,GORNJI GRAD,Paper and Cardboard from Municipal Waste (20 01 01),52.317
2020,SAVINJSKA,KOZJE,Bulky Municipal Waste (20 03 07),98.477
2020,SAVINJSKA,KOZJE,Non-hazardous Wood from Municipal Waste (20 01 38),5.846
2020,SAVINJSKA,KOZJE,Paper and Cardboard Packaging (15 01 01),15.37
2020,SAVINJSKA,KOZJE,Paper and Cardboard from Municipal Waste (20 01 01),22.366
2020,SAVINJSKA,KOZJE,Wooden Packaging (15 01 03),0.011
2020,SAVINJSKA,LAŠKO,Bulky Municipal Waste (20 03 07),329.98
2020,SAVINJSKA,LAŠKO,Non-hazardous Wood from Municipal Waste (20 01 38),53.56
2020,SAVINJSKA,LAŠKO,Paper and Cardboard Packaging (15 01 01),167.323
2020,SAVINJSKA,LAŠKO,Paper and Cardboard from Municipal Waste (20 01 01),7.141
2020,SAVINJSKA,LJUBNO,Bulky Municipal Waste (20 03 07),37.402
2020,SAVINJSKA,LJUBNO,Non-hazardous Wood from Municipal Waste (20 01 38),11.728
2020,SAVINJSKA,LJUBNO,Paper and Cardboard Packaging (15 01 01),5.345
2020,SAVINJSKA,LJUBNO,Paper and Cardboard from Municipal Waste (20 01 01),20.706
2020,SAVINJSKA,LUČE,Bulky Municipal Waste (20 03 07),20.478
2020,SAVINJSKA,LUČE,Non-hazardous Wood from Municipal Waste (20 01 38),7.859
2020,SAVINJSKA,LUČE,Paper and Cardboard Packaging (15 01 01),3.849
2020,SAVINJSKA,LUČE,Paper and Cardboard from Municipal Waste (20 01 01),14.626
2020,SAVINJSKA,MOZIRJE,Bulky Municipal Waste (20 03 07),163.61
2020,SAVINJSKA,MOZIRJE,Paper and Cardboard Packaging (15 01 01),105.191
2020,SAVINJSKA,MOZIRJE,Paper and Cardboard from Municipal Waste (20 01 01),37.12
2020,SAVINJSKA,NAZARJE,Bulky Municipal Waste (20 03 07),41.041
2020,SAVINJSKA,NAZARJE,Non-hazardous Wood from Municipal Waste (20 01 38),26.79
2020,SAVINJSKA,NAZARJE,Paper and Cardboard Packaging (15 01 01),18.103
2020,SAVINJSKA,NAZARJE,Paper and Cardboard from Municipal Waste (20 01 01),67.416
2020,SAVINJSKA,PODČETRTEK,Bulky Municipal Waste (20 03 07),99.365
2020,SAVINJSKA,PODČETRTEK,Non-hazardous Wood from Municipal Waste (20 01 38),5.898
2020,SAVINJSKA,PODČETRTEK,Paper and Cardboard Packaging (15 01 01),15.231
2020,SAVINJSKA,PODČETRTEK,Paper and Cardboard from Municipal Waste (20 01 01),22.447
2020,SAVINJSKA,PODČETRTEK,Wooden Packaging (15 01 03),0.011
2020,SAVINJSKA,POLZELA,Bulky Municipal Waste (20 03 07),395.984
2020,SAVINJSKA,POLZELA,Non-hazardous Wood from Municipal Waste (20 01 38),44.147
2020,SAVINJSKA,POLZELA,Paper and Cardboard Packaging (15 01 01),22.602
2020,SAVINJSKA,POLZELA,Paper and Cardboard from Municipal Waste (20 01 01),122.517
2020,SAVINJSKA,PREBOLD,Bulky Municipal Waste (20 03 07),362.174
2020,SAVINJSKA,PREBOLD,Non-hazardous Wood from Municipal Waste (20 01 38),79.144
2020,SAVINJSKA,PREBOLD,Paper and Cardboard Packaging (15 01 01),32.434
2020,SAVINJSKA,PREBOLD,Paper and Cardboard from Municipal Waste (20 01 01),88.515
2020,SAVINJSKA,PREBOLD,Wooden Packaging (15 01 03),178.44
2020,SAVINJSKA,REČICA OB SAVINJI,Bulky Municipal Waste (20 03 07),92.03
2020,SAVINJSKA,REČICA OB SAVINJI,Paper and Cardboard Packaging (15 01 01),24.509
2020,SAVINJSKA,REČICA OB SAVINJI,Paper and Cardboard from Municipal Waste (20 01 01),20.88
2020,SAVINJSKA,ROGATEC,Bulky Municipal Waste (20 03 07),85.17
2020,SAVINJSKA,ROGATEC,Non-hazardous Wood from Municipal Waste (20 01 38),5.056
2020,SAVINJSKA,ROGATEC,Paper and Cardboard Packaging (15 01 01),13.055
2020,SAVINJSKA,ROGATEC,Paper and Cardboard from Municipal Waste (20 01 01),19.24
2020,SAVINJSKA,ROGATEC,Wooden Packaging (15 01 03),0.009
2020,SAVINJSKA,ROGAŠKA SLATINA,Bulky Municipal Waste (20 03 07),405.776
2020,SAVINJSKA,ROGAŠKA SLATINA,Non-hazardous Wood from Municipal Waste (20 01 38),24.087
2020,SAVINJSKA,ROGAŠKA SLATINA,Paper and Cardboard Packaging (15 01 01),126.319
2020,SAVINJSKA,ROGAŠKA SLATINA,Paper and Cardboard from Municipal Waste (20 01 01),91.665
2020,SAVINJSKA,ROGAŠKA SLATINA,Wooden Packaging (15 01 03),0.043
2020,SAVINJSKA,SLOVENSKE KONJICE,Bulky Municipal Waste (20 03 07),229.63
2020,SAVINJSKA,SLOVENSKE KONJICE,Non-hazardous Wood from Municipal Waste (20 01 38),359.5
2020,SAVINJSKA,SLOVENSKE KONJICE,Paper and Cardboard Packaging (15 01 01),166.92
2020,SAVINJSKA,SLOVENSKE KONJICE,Paper and Cardboard from Municipal Waste (20 01 01),700.663
2020,SAVINJSKA,SOLČAVA,Bulky Municipal Waste (20 03 07),19.471
2020,SAVINJSKA,SOLČAVA,Non-hazardous Wood from Municipal Waste (20 01 38),2.629
2020,SAVINJSKA,SOLČAVA,Paper and Cardboard Packaging (15 01 01),2.073
2020,SAVINJSKA,SOLČAVA,Paper and Cardboard from Municipal Waste (20 01 01),9.102
2020,SAVINJSKA,TABOR,Bulky Municipal Waste (20 03 07),132.956
2020,SAVINJSKA,TABOR,Non-hazardous Wood from Municipal Waste (20 01 38),19.394
2020,SAVINJSKA,TABOR,Paper and Cardboard Packaging (15 01 01),8.992
2020,SAVINJSKA,TABOR,Paper and Cardboard from Municipal Waste (20 01 01),35.967
2020,SAVINJSKA,VELENJE,Bulky Municipal Waste (20 03 07),724.239
2020,SAVINJSKA,VELENJE,Non-hazardous Wood from Municipal Waste (20 01 38),818.925
2020,SAVINJSKA,VELENJE,Paper and Cardboard Packaging (15 01 01),2498.269
2020,SAVINJSKA,VELENJE,Paper and Cardboard from Municipal Waste (20 01 01),897.362
2020,SAVINJSKA,VELENJE,Wooden Packaging (15 01 03),2342.254
2020,SAVINJSKA,VITANJE,Bulky Municipal Waste (20 03 07),66.63
2020,SAVINJSKA,VITANJE,Paper and Cardboard from Municipal Waste (20 01 01),11.861
2020,SAVINJSKA,VOJNIK,Bulky Municipal Waste (20 03 07),892.047
2020,SAVINJSKA,VOJNIK,Non-hazardous Wood from Municipal Waste (20 01 38),116.037
2020,SAVINJSKA,VOJNIK,Paper and Cardboard Packaging (15 01 01),50.579
2020,SAVINJSKA,VOJNIK,Paper and Cardboard from Municipal Waste (20 01 01),154.978
2020,SAVINJSKA,VRANSKO,Bulky Municipal Waste (20 03 07),207.077
2020,SAVINJSKA,VRANSKO,Non-hazardous Wood from Municipal Waste (20 01 38),30.737
2020,SAVINJSKA,VRANSKO,Paper and Cardboard Packaging (15 01 01),15.853
2020,SAVINJSKA,VRANSKO,Paper and Cardboard from Municipal Waste (20 01 01),54.674
2020,SAVINJSKA,ZREČE,Bulky Municipal Waste (20 03 07),319.961
2020,SAVINJSKA,ZREČE,Non-hazardous Wood from Municipal Waste (20 01 38),13.072
2020,SAVINJSKA,ZREČE,Paper and Cardboard from Municipal Waste (20 01 01),83.384
2020,SAVINJSKA,ŠENTJUR,Bulky Municipal Waste (20 03 07),789.092
2020,SAVINJSKA,ŠENTJUR,Non-hazardous Wood from Municipal Waste (20 01 38),148.83
2020,SAVINJSKA,ŠENTJUR,Paper and Cardboard Packaging (15 01 01),174.444
2020,SAVINJSKA,ŠENTJUR,Paper and Cardboard from Municipal Waste (20 01 01),247.745
2020,SAVINJSKA,ŠMARJE PRI JELŠAH,Bulky Municipal Waste (20 03 07),375.833
2020,SAVINJSKA,ŠMARJE PRI JELŠAH,Non-hazardous Wood from Municipal Waste (20 01 38),22.31
2020,SAVINJSKA,ŠMARJE PRI JELŠAH,Paper and Cardboard Packaging (15 01 01),87.61
2020,SAVINJSKA,ŠMARJE PRI JELŠAH,Paper and Cardboard from Municipal Waste (20 01 01),84.901
2020,SAVINJSKA,ŠMARJE PRI JELŠAH,Wooden Packaging (15 01 03),0.041
2020,SAVINJSKA,ŠMARTNO OB PAKI,Bulky Municipal Waste (20 03 07),72.525
2020,SAVINJSKA,ŠMARTNO OB PAKI,Non-hazardous Wood from Municipal Waste (20 01 38),54.402
2020,SAVINJSKA,ŠMARTNO OB PAKI,Paper and Cardboard Packaging (15 01 01),23.61
2020,SAVINJSKA,ŠMARTNO OB PAKI,Paper and Cardboard from Municipal Waste (20 01 01),62.317
2020,SAVINJSKA,ŠOŠTANJ,Bulky Municipal Waste (20 03 07),142.236
2020,SAVINJSKA,ŠOŠTANJ,Non-hazardous Wood from Municipal Waste (20 01 38),188.527
2020,SAVINJSKA,ŠOŠTANJ,Paper and Cardboard Packaging (15 01 01),56.662
2020,SAVINJSKA,ŠOŠTANJ,Paper and Cardboard from Municipal Waste (20 01 01),123.028
2020,SAVINJSKA,ŠTORE,Bulky Municipal Waste (20 03 07),198.053
2020,SAVINJSKA,ŠTORE,Non-hazardous Wood from Municipal Waste (20 01 38),34.727
2020,SAVINJSKA,ŠTORE,Paper and Cardboard Packaging (15 01 01),27.429
2020,SAVINJSKA,ŠTORE,Paper and Cardboard from Municipal Waste (20 01 01),95.082
2020,SAVINJSKA,ŠTORE,Wooden Packaging (15 01 03),29.34
2020,SAVINJSKA,ŽALEC,Bulky Municipal Waste (20 03 07),1306.626
2020,SAVINJSKA,ŽALEC,Non-hazardous Wood from Municipal Waste (20 01 38),423.795
2020,SAVINJSKA,ŽALEC,Paper and Cardboard Packaging (15 01 01),206.625
2020,SAVINJSKA,ŽALEC,Paper and Cardboard from Municipal Waste (20 01 01),301.483
2020,ZASAVSKA,HRASTNIK,Bulky Municipal Waste (20 03 07),245.28
2020,ZASAVSKA,HRASTNIK,Paper and Cardboard Packaging (15 01 01),425.895
2020,ZASAVSKA,HRASTNIK,Paper and Cardboard from Municipal Waste (20 01 01),21.48
2020,ZASAVSKA,HRASTNIK,Wooden Packaging (15 01 03),213.23
2020,ZASAVSKA,LITIJA,Bulky Municipal Waste (20 03 07),527.04
2020,ZASAVSKA,LITIJA,Non-hazardous Wood from Municipal Waste (20 01 38),235.37
2020,ZASAVSKA,LITIJA,Paper and Cardboard Packaging (15 01 01),387.603
2020,ZASAVSKA,LITIJA,Paper and Cardboard from Municipal Waste (20 01 01),180.844
2020,ZASAVSKA,LITIJA,Wooden Packaging (15 01 03),10.87
2020,ZASAVSKA,TRBOVLJE,Bulky Municipal Waste (20 03 07),189.24
2020,ZASAVSKA,TRBOVLJE,Non-hazardous Wood from Municipal Waste (20 01 38),570.08
2020,ZASAVSKA,TRBOVLJE,Paper and Cardboard Packaging (15 01 01),240.501
2020,ZASAVSKA,TRBOVLJE,Paper and Cardboard from Municipal Waste (20 01 01),302.524
2020,ZASAVSKA,TRBOVLJE,Wooden Packaging (15 01 03),23.13
2020,ZASAVSKA,ZAGORJE OB SAVI,Bulky Municipal Waste (20 03 07),113.34
2020,ZASAVSKA,ZAGORJE OB SAVI,Non-hazardous Wood from Municipal Waste (20 01 38),349.04
2020,ZASAVSKA,ZAGORJE OB SAVI,Paper and Cardboard Packaging (15 01 01),381.86
2020,ZASAVSKA,ZAGORJE OB SAVI,Paper and Cardboard from Municipal Waste (20 01 01),177.939
2020,ZASAVSKA,ZAGORJE OB SAVI,Wooden Packaging (15 01 03),100.71
2021,GORENJSKA,BLED,Bulky Municipal Waste (20 03 07),182.1
2021,GORENJSKA,BLED,Non-hazardous Wood from Municipal Waste (20 01 38),299.678
2021,GORENJSKA,BLED,Paper and Cardboard Packaging (15 01 01),100.438
2021,GORENJSKA,BLED,Paper and Cardboard from Municipal Waste (20 01 01),312.818
2021,GORENJSKA,BOHINJ,Bulky Municipal Waste (20 03 07),222.46
2021,GORENJSKA,BOHINJ,Non-hazardous Wood from Municipal Waste (20 01 38),228.66
2021,GORENJSKA,BOHINJ,Paper and Cardboard Packaging (15 01 01),64
2021,GORENJSKA,BOHINJ,Paper and Cardboard from Municipal Waste (20 01 01),71.01
2021,GORENJSKA,CERKLJE NA GORENJSKEM,Bulky Municipal Waste (20 03 07),97.26
2021,GORENJSKA,CERKLJE NA GORENJSKEM,Non-hazardous Wood from Municipal Waste (20 01 38),220.12
2021,GORENJSKA,CERKLJE NA GORENJSKEM,Paper and Cardboard Packaging (15 01 01),50.34
2021,GORENJSKA,CERKLJE NA GORENJSKEM,Paper and Cardboard from Municipal Waste (20 01 01),131.422
2021,GORENJSKA,GORENJA VAS-POLJANE,Bulky Municipal Waste (20 03 07),152.84
2021,GORENJSKA,GORENJA VAS-POLJANE,Non-hazardous Wood from Municipal Waste (20 01 38),96.26
2021,GORENJSKA,GORENJA VAS-POLJANE,Paper and Cardboard Packaging (15 01 01),38.624
2021,GORENJSKA,GORENJA VAS-POLJANE,Paper and Cardboard from Municipal Waste (20 01 01),103.021
2021,GORENJSKA,GORJE,Bulky Municipal Waste (20 03 07),39.58
2021,GORENJSKA,GORJE,Non-hazardous Wood from Municipal Waste (20 01 38),99.892
2021,GORENJSKA,GORJE,Paper and Cardboard Packaging (15 01 01),14.988
2021,GORENJSKA,GORJE,Paper and Cardboard from Municipal Waste (20 01 01),46.28
2021,GORENJSKA,JESENICE,Bulky Municipal Waste (20 03 07),1165.32
2021,GORENJSKA,JESENICE,Non-hazardous Wood from Municipal Waste (20 01 38),980
2021,GORENJSKA,JESENICE,Paper and Cardboard Packaging (15 01 01),150.87
2021,GORENJSKA,JESENICE,Paper and Cardboard from Municipal Waste (20 01 01),398.759
2021,GORENJSKA,JEZERSKO,Non-hazardous Wood from Municipal Waste (20 01 38),43.78
2021,GORENJSKA,JEZERSKO,Paper and Cardboard Packaging (15 01 01),15.82
2021,GORENJSKA,KRANJ,Bulky Municipal Waste (20 03 07),644.331
2021,GORENJSKA,KRANJ,Non-hazardous Wood from Municipal Waste (20 01 38),1212.82
2021,GORENJSKA,KRANJ,Paper and Cardboard Packaging (15 01 01),511.007
2021,GORENJSKA,KRANJ,Paper and Cardboard from Municipal Waste (20 01 01),942.682
2021,GORENJSKA,KRANJ,Wooden Packaging (15 01 03),19.15
2021,GORENJSKA,KRANJSKA GORA,Bulky Municipal Waste (20 03 07),245.41
2021,GORENJSKA,KRANJSKA GORA,Non-hazardous Wood from Municipal Waste (20 01 38),211.91
2021,GORENJSKA,KRANJSKA GORA,Paper and Cardboard Packaging (15 01 01),126.596
2021,GORENJSKA,KRANJSKA GORA,Paper and Cardboard from Municipal Waste (20 01 01),21.228
2021,GORENJSKA,NAKLO,Bulky Municipal Waste (20 03 07),30.777
2021,GORENJSKA,NAKLO,Non-hazardous Wood from Municipal Waste (20 01 38),81.48
2021,GORENJSKA,NAKLO,Paper and Cardboard Packaging (15 01 01),52.234
2021,GORENJSKA,NAKLO,Paper and Cardboard from Municipal Waste (20 01 01),27.528
2021,GORENJSKA,NAKLO,Wooden Packaging (15 01 03),3.12
2021,GORENJSKA,PREDDVOR,Bulky Municipal Waste (20 03 07),12.883
2021,GORENJSKA,PREDDVOR,Paper and Cardboard Packaging (15 01 01),31.187
2021,GORENJSKA,PREDDVOR,Paper and Cardboard from Municipal Waste (20 01 01),2.66
2021,GORENJSKA,RADOVLJICA,Bulky Municipal Waste (20 03 07),626.82
2021,GORENJSKA,RADOVLJICA,Non-hazardous Wood from Municipal Waste (20 01 38),482.33
2021,GORENJSKA,RADOVLJICA,Paper and Cardboard Packaging (15 01 01),246.597
2021,GORENJSKA,RADOVLJICA,Paper and Cardboard from Municipal Waste (20 01 01),383.346
2021,GORENJSKA,RADOVLJICA,Wooden Packaging (15 01 03),0.46
2021,GORENJSKA,TRŽIČ,Bulky Municipal Waste (20 03 07),360.55
2021,GORENJSKA,TRŽIČ,Non-hazardous Wood from Municipal Waste (20 01 38),272.42
2021,GORENJSKA,TRŽIČ,Paper and Cardboard Packaging (15 01 01),191.915
2021,GORENJSKA,TRŽIČ,Paper and Cardboard from Municipal Waste (20 01 01),76.57
2021,GORENJSKA,ŠENČUR,Bulky Municipal Waste (20 03 07),54.396
2021,GORENJSKA,ŠENČUR,Non-hazardous Wood from Municipal Waste (20 01 38),147.28
2021,GORENJSKA,ŠENČUR,Paper and Cardboard Packaging (15 01 01),107.91
2021,GORENJSKA,ŠENČUR,Paper and Cardboard from Municipal Waste (20 01 01),19.857
2021,GORENJSKA,ŠENČUR,Wooden Packaging (15 01 03),2.86
2021,GORENJSKA,ŠKOFJA LOKA,Bulky Municipal Waste (20 03 07),587.39
2021,GORENJSKA,ŠKOFJA LOKA,Paper and Cardboard Packaging (15 01 01),276.915
2021,GORENJSKA,ŠKOFJA LOKA,Paper and Cardboard from Municipal Waste (20 01 01),3492.419
2021,GORENJSKA,ŠKOFJA LOKA,Wooden Packaging (15 01 03),55.048
2021,GORENJSKA,ŽELEZNIKI,Bulky Municipal Waste (20 03 07),107.62
2021,GORENJSKA,ŽELEZNIKI,Paper and Cardboard Packaging (15 01 01),51.943
2021,GORENJSKA,ŽELEZNIKI,Paper and Cardboard from Municipal Waste (20 01 01),39.051
2021,GORENJSKA,ŽIRI,Bulky Municipal Waste (20 03 07),49.22
2021,GORENJSKA,ŽIRI,Paper and Cardboard Packaging (15 01 01),5.614
2021,GORENJSKA,ŽIRI,Paper and Cardboard from Municipal Waste (20 01 01),241.945
2021,GORENJSKA,ŽIROVNICA,Bulky Municipal Waste (20 03 07),391.401
2021,GORENJSKA,ŽIROVNICA,Non-hazardous Wood from Municipal Waste (20 01 38),185.05
2021,GORENJSKA,ŽIROVNICA,Paper and Cardboard Packaging (15 01 01),44.93
2021,GORENJSKA,ŽIROVNICA,Paper and Cardboard from Municipal Waste (20 01 01),97.611
2021,GORIŠKA,AJDOVŠČINA,Bulky Municipal Waste (20 03 07),363.753
2021,GORIŠKA,AJDOVŠČINA,Non-hazardous Wood from Municipal Waste (20 01 38),376.298
2021,GORIŠKA,AJDOVŠČINA,Paper and Cardboard Packaging (15 01 01),263.233
2021,GORIŠKA,AJDOVŠČINA,Paper and Cardboard from Municipal Waste (20 01 01),430.344
2021,GORIŠKA,AJDOVŠČINA,Wooden Packaging (15 01 03),7.22
2021,GORIŠKA,BOVEC,Bulky Municipal Waste (20 03 07),68.255
2021,GORIŠKA,BOVEC,Non-hazardous Wood from Municipal Waste (20 01 38),141.359
2021,GORIŠKA,BOVEC,Paper and Cardboard Packaging (15 01 01),92.124
2021,GORIŠKA,BOVEC,Paper and Cardboard from Municipal Waste (20 01 01),57.242
2021,GORIŠKA,BRDA,Bulky Municipal Waste (20 03 07),297.933
2021,GORIŠKA,BRDA,Non-hazardous Wood from Municipal Waste (20 01 38),321.534
2021,GORIŠKA,BRDA,Paper and Cardboard Packaging (15 01 01),61.432
2021,GORIŠKA,BRDA,Paper and Cardboard from Municipal Waste (20 01 01),137.568
2021,GORIŠKA,BRDA,Wooden Packaging (15 01 03),0.325
2021,GORIŠKA,CERKNO,Bulky Municipal Waste (20 03 07),138.165
2021,GORIŠKA,CERKNO,Non-hazardous Wood from Municipal Waste (20 01 38),87.05
2021,GORIŠKA,CERKNO,Paper and Cardboard Packaging (15 01 01),17.987
2021,GORIŠKA,CERKNO,Paper and Cardboard from Municipal Waste (20 01 01),104.888
2021,GORIŠKA,IDRIJA,Bulky Municipal Waste (20 03 07),321.466
2021,GORIŠKA,IDRIJA,Non-hazardous Wood from Municipal Waste (20 01 38),329.77
2021,GORIŠKA,IDRIJA,Paper and Cardboard Packaging (15 01 01),228.209
2021,GORIŠKA,IDRIJA,Paper and Cardboard from Municipal Waste (20 01 01),414.265
2021,GORIŠKA,IDRIJA,Wooden Packaging (15 01 03),165.34
2021,GORIŠKA,KANAL,Bulky Municipal Waste (20 03 07),278.133
2021,GORIŠKA,KANAL,Non-hazardous Wood from Municipal Waste (20 01 38),278.276
2021,GORIŠKA,KANAL,Paper and Cardboard Packaging (15 01 01),16.114
2021,GORIŠKA,KANAL,Paper and Cardboard from Municipal Waste (20 01 01),115.54
2021,GORIŠKA,KANAL,Wooden Packaging (15 01 03),1.081
2021,GORIŠKA,KOBARID,Bulky Municipal Waste (20 03 07),60.38
2021,GORIŠKA,KOBARID,Non-hazardous Wood from Municipal Waste (20 01 38),125.049
2021,GORIŠKA,KOBARID,Paper and Cardboard Packaging (15 01 01),81.494
2021,GORIŠKA,KOBARID,Paper and Cardboard from Municipal Waste (20 01 01),50.637
