year,statistical_region,waste_code,type_of_waste,waste_category,waste_stored_start_year,waste_stored_end_year,next_year_start
2021,PODRAVSKA,NA,Wooden Packaging (15 01 03),NA,11.82,35.884,23.218
2023,PODRAVSKA,NA,Wooden Packaging (15 01 03),NA,23.218,0,NA
2017,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,255.82,26.04,26.04
2018,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,26.04,0,0
2019,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,22.96,22.96
2020,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,22.96,22.04,22.04
2021,POMURSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,22.04,40.48,40.48
2022,POMURSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,40.48,0,NA
2016,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,49.428,44.632,50.089
2017,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,50.089,66.807,66.807
2018,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,66.807,107.73,107.73
2019,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,107.73,197.768,197.768
2020,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,197.768,84.891,84.891
2021,POMURSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,84.891,97.172,169.09
2023,POMURSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,169.09,0,NA
2016,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,58.224,12.848,23.216
2017,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,23.216,51.405,51.405
2018,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,51.405,31.204,131.767
2019,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,131.767,257.28200000000004,257.282
2020,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,257.282,21.514,21.514
2021,POMURSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,21.514,151.925,355.108
2023,POMURSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,355.108,0,NA
2019,POMURSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,37.702,37.702
2020,POMURSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,37.702,50.554,50.554
2021,POMURSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,50.554,0,NA
2019,POMURSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0.74,12.125,12.125
2020,POMURSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,12.125,15.606,15.606
2021,POMURSKA,NA,Sawdust/Shavings/Cuttings (03 01 05),NA,15.606,0,NA
2021,POMURSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,0,124.268,NA
2019,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,5.602,13.78,13.78
2020,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,13.78,31.114,31.114
2021,POMURSKA,NA,Wooden Packaging (15 01 03),NA,31.114,17.208,20.827
2023,POMURSKA,NA,Wooden Packaging (15 01 03),NA,20.827,0,NA
2016,POSAVSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,5107.321,2951.603,2951.603
2017,POSAVSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,2951.603,9838.463,9838.463
2018,POSAVSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,9838.463,4606.417,4606.417
2019,POSAVSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,4606.417,5555.076,5555.076
2020,POSAVSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,5555.076,8392.205,584.055
2021,POSAVSKA,NA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),NA,584.055,545.64,NA
2023,POSAVSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,132.208,0,NA
2016,POSAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.46,0,0
2021,POSAVSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,0,2.266,NA
2016,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,7251.19,6728.736,6728.736
2017,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,6728.736,5304.184,5304.184
2018,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,5304.184,4383.337,4383.337
2019,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,4383.337,4430.364,4430.364
2020,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,4430.364,4387.533,4387.533
2021,POSAVSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,4387.533,421.772,5511.071
2023,POSAVSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,5511.071,0,NA
2016,POSAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,2705.17,2407.815,2407.815
2017,POSAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,2407.815,1481.939,1481.939
2018,POSAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,1481.939,1411.668,1411.668
2019,POSAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,1411.668,1279.823,1279.823
2020,POSAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,1279.823,2365.78,2365.78
2021,POSAVSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,2365.78,440.962,9756.553
2023,POSAVSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,9756.553,0,NA
2016,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,255,181,181
2017,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,181,106,106
2018,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,106,117,117
2019,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,117,99,99
2020,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,99,1.695,1.695
2021,POSAVSKA,NA,Wooden Packaging (15 01 03),NA,1.695,29,NA
2016,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,7.7,7.7,7.7
2017,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,7.7,28.452,9.721
2019,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,9.721,13.46,13.46
2020,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,13.46,1.159,1.159
2021,PRIMORSKO-NOTRANJSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,1.159,9.985,9.985
2022,PRIMORSKO-NOTRANJSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,9.985,0,2.715
2023,PRIMORSKO-NOTRANJSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,2.715,0,NA
2016,PRIMORSKO-NOTRANJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0,0,NA
2016,PRIMORSKO-NOTRANJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,3.648,7.928,7.928
2017,PRIMORSKO-NOTRANJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,7.928,9.208,12.24
2019,PRIMORSKO-NOTRANJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,12.24,12.828,12.828
2020,PRIMORSKO-NOTRANJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,12.828,12.828,12.828
2021,PRIMORSKO-NOTRANJSKA,NA,Wooden Packaging (15 01 03),NA,12.828,12.828,12.828
2022,PRIMORSKO-NOTRANJSKA,NA,Wooden Packaging (15 01 03),NA,12.828,0,12.828
2023,PRIMORSKO-NOTRANJSKA,NA,Wooden Packaging (15 01 03),NA,12.828,0,NA
2016,SAVINJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,351.544,258.978,0
2021,SAVINJSKA,NA,Bulky Municipal Waste (20 03 07),NA,0,146.7,NA
2016,SAVINJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,92.811,70.247,NA
2016,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,739.797,417.514,38.343
2019,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,38.343,14.96,14.96
2020,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,14.96,11.851,11.851
2021,SAVINJSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,11.851,0,NA
2016,SAVINJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,444.636,148.2,0
2019,SAVINJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,0.85,0.85
2020,SAVINJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.85,170.939,170.939
2021,SAVINJSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,170.939,198.79,167.596
2023,SAVINJSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,167.596,0,NA
2016,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,66.286,155.984,155.381
2017,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,155.381,155.381,155.381
2018,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,155.381,238.826,238.826
2019,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,238.826,58.496,58.496
2020,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,58.496,68.701,68.701
2021,SAVINJSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,68.701,292.307,25.044
2023,SAVINJSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,25.044,0,NA
2016,SAVINJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,21.432,23.602,0
2018,SAVINJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,9.79,9.79
2019,SAVINJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,9.79,384.891,384.891
2020,SAVINJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,384.891,92.406,92.406
2021,SAVINJSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,92.406,98.401,98.401
2023,SAVINJSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,98.401,0,NA
2016,SAVINJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,270.435,215.097,11.674
2017,SAVINJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,11.674,0,NA
2016,SAVINJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,44.34,62,62
2017,SAVINJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,62,83.92,40
2018,SAVINJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,40,51.257,51.257
2019,SAVINJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,51.257,90.435,90.435
2020,SAVINJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,90.435,200.06,200.06
2021,SAVINJSKA,NA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),NA,200.06,99.241,4.41
2023,SAVINJSKA,NA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),NA,4.41,0,NA
2016,SAVINJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,140.561,313.966,0
2021,SAVINJSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,0,21.916,93.251
2023,SAVINJSKA,NA,Wood Waste from Treatment (not 19 12 06) (19 12 07),NA,93.251,0,NA
2016,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,189.386,382.568,34.017
2017,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,34.017,35.884,35.884
2018,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,35.884,16.704,16.704
2019,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,16.704,18.589000000000002,18.589
2020,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,18.589,69.715,69.715
2021,SAVINJSKA,NA,Wooden Packaging (15 01 03),NA,69.715,20.68,56.16
2023,SAVINJSKA,NA,Wooden Packaging (15 01 03),NA,56.16,0,NA
2016,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,798.271,1484.941,1484.941
2017,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1484.941,680.246,680.246
2018,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,680.246,1434.055,1434.055
2019,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1434.055,1322.45,1322.45
2020,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1322.45,1359.21,1359.21
2021,ZASAVSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,1359.21,323.91,323.91
2022,ZASAVSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,323.91,0,NA
2016,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,13.56,0,0
2017,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,17.66,17.66
2018,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,17.66,23.64,23.64
2019,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,23.64,21.12,21.12
2020,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,21.12,21.12,21.12
2021,ZASAVSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,21.12,0,NA
2016,ZASAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,20.891,20.891
2017,ZASAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,20.891,20.891,20.891
2018,ZASAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,20.891,46.591,46.591
2019,ZASAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,46.591,0,0
2020,ZASAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,29.66,29.66
2021,ZASAVSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,29.66,29.66,29.66
2022,ZASAVSKA,NA,Paper and Cardboard from Waste Treatment (19 12 01),NA,29.66,0,NA
