year,statistical_region,type_of_waste,waste_category,treatment_process,waste_for_processing
2017,OBALNO-KRAŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",827.1469999999999
2017,OSREDNJESLOVENSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,"R_12, R_13",10.78
2017,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,8.92
2017,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",9586.513
2017,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_03,451.46000000000004
2017,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_0302,49.158
2017,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,532.49
2017,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,819.33
2017,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",332.27
2017,OSREDNJESLOVENSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,R_05,11.8
2017,OSREDNJESLOVENSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,"R_12, R_13",85.62
2017,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,3167.4100000000003
2017,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,2862.13
2017,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,12991.562000000002
2017,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",5478.148999999999
2017,OSREDNJESLOVENSKA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",0.612
2017,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,BO,2638.655
2017,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,19233.555
2017,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,22.53
2017,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",27043.674
2017,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_13,28.09
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,BO,21944.336
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,D_09,0.68
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,49011.711
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",15453.586
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,239.901
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,BO,10340.157
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,25546.114
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_0303,7.68
2017,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",2514.616
2017,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_03,200.35
2017,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0302,12.78
2017,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_05,7.5
2017,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_12,227.47
2017,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",324.06
2017,OSREDNJESLOVENSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,0.51
2017,OSREDNJESLOVENSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",668.874
2017,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,18.7
2017,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_12,75.73
2017,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,1150.041
2017,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,328.439
2017,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_03,1827.4
2017,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,182.36
2017,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_05,1131.74
2017,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_12,1996.28
2017,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",3464.715
2017,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,6.3
2017,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",4504.174
2017,PODRAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",365.04
2017,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,265.744
2017,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",174.97799999999998
2017,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,1658.895
2017,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,D_10,2.78
2017,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,12.24
2017,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",11862.645
2017,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,D_10,23.571
2017,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,7449.884
2017,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",11107.563
2017,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,382.6
2017,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,7868.52
2017,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",1.7199999999999998
2017,PODRAVSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,350
2017,PODRAVSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",328.18
2017,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,1331.52
2017,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",2172.291
2017,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,D_10,14.64
2017,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",1160.189
2017,POMURSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",3280.859
2017,POMURSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",4.7
2017,POMURSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",556.12
2017,POMURSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",4206.376
2017,POMURSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2358.88
2017,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,D_10,0.221
2017,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",445.473
2017,POMURSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1608.68
2017,POMURSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",540.771
2017,POSAVSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,R_01,25845.104
2017,POSAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",626.0400000000001
2017,POSAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_03,11.476
2017,POSAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_0302,1.42
2017,POSAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,4.46
2017,POSAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",0.76
2017,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,246.92
2017,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,217.52
2017,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_04,21.52
2017,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",7
2017,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,1290.622
2017,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1558.345
2017,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,145245.641
2017,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,21600.506
2017,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1028.291
2017,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,42280.18
2017,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,178.122
2017,POSAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",399.065
2017,POSAVSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,1530.06
2017,POSAVSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_12,90.02
2017,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,238
2017,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_03,228.3
2017,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,103.1
2017,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_12,0.86
2017,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",79.35
2017,PRIMORSKO-NOTRANJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,4.2
2017,PRIMORSKO-NOTRANJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",133.648
2017,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,114.75
2017,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",10.215
2017,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,9.78
2017,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,15
2017,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,13125.414
2017,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",31.78
2017,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,D_01,33.46
2017,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,46.715
2017,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,6.62
2017,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",50.907000000000004
2017,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_01,542.295
2017,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,70
2017,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,1451.766
2017,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",40.44
2017,SAVINJSKA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",1421.72
2017,SAVINJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",10461.46
2017,SAVINJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,PU,0.798
2017,SAVINJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",5397.777
2017,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",295.68
2017,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,D_01,0.58
2017,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,1.095
2017,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",215.91500000000002
2017,SAVINJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,719.52
2017,SAVINJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1698.768
2017,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,3353.6
2017,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",0.96
2017,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,0.07
2017,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,778.48
2017,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_03,38.84
2017,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",2608.509
2017,ZASAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_05,13.52
2017,ZASAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,8.54
2017,ZASAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1395.234
2017,ZASAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",310.43
2017,ZASAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",79.214
2017,ZASAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_13,0.282
2017,ZASAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1095.616
2018,GORENJSKA,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,"R_12, R_13",27
2018,GORENJSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,"R_12, R_13",0.3
2018,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,5426.52
2018,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,20.743
2018,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",788.0079999999999
2018,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_01,510.21
2018,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,52.2
2018,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",32.31
2018,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1837.896
2018,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,179.317
2018,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5860.596
2018,GORENJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",4997.524
2018,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,2915.509
2018,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,11.54
2018,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",372.371
2018,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,1488.547
2018,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",399.39
2018,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_13,0.5
2018,GORENJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1626.127
2018,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,2586.44
2018,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",48.861000000000004
2018,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,1978.64
2018,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",3879.935
2018,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,303.26
2018,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",7.215
2018,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",58
2018,GORIŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",14.85
2018,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_0101,21.6
2018,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",2204.076
2018,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_0101,46.11
2018,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",940.292
2018,GORIŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_0101,27.88
2018,GORIŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",25.539
2018,GORIŠKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0101,19.7
2018,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,R_0101,75.25
2018,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",619.508
2018,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,349.2
2018,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1359.174
2018,JUGOVZHODNA SLOVENIJA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",188.466
2018,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,1.51
2018,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",260.889
2018,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,37.56
2018,JUGOVZHODNA SLOVENIJA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",53.04
2018,JUGOVZHODNA SLOVENIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",7005.985000000001
2018,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2430.292
2018,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",10.18
2018,JUGOVZHODNA SLOVENIJA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",2664.294
2018,JUGOVZHODNA SLOVENIJA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1846.401
2018,JUGOVZHODNA SLOVENIJA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",3.66
2018,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",3225.065
2018,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,R_13,60.7
2018,KOROŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2224.64
2018,KOROŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1146.195
2018,KOROŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",499.553
2018,KOROŠKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",28.9
2018,KOROŠKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1828.35
2018,KOROŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",122.86
2018,OBALNO-KRAŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",22.569000000000003
2018,OBALNO-KRAŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",137.127
2018,OBALNO-KRAŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",591.39
2018,OBALNO-KRAŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",4130.609
2018,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1687.263
2018,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,96.9
2018,OBALNO-KRAŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",278.855
2018,OBALNO-KRAŠKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",333.027
2018,OBALNO-KRAŠKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",9.38
2018,OBALNO-KRAŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",755.604
2018,OSREDNJESLOVENSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,"R_12, R_13",26.579
2018,OSREDNJESLOVENSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,R_13,6.52
2018,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,5.406000000000001
2018,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,8.32
2018,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",13147.356
2018,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_03,9.8
2018,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,411.95
2018,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,1773.756
2018,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",184.87
2018,OSREDNJESLOVENSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,R_03,63.22
2018,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,411.9
2018,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,2203.32
2018,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,19591.726
2018,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",10584.519999999999
2018,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,13.4
2018,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,6407.533
2018,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",41183.225
2018,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_13,1035.601
2018,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,12098.513
2018,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",77107.136
2018,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,2772.0069999999996
2018,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,70143.84
2018,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",9701.436
2018,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_13,4886.024
2018,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_03,163.98
2018,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0302,16.74
2018,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_05,94.3
2018,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_12,279.28
2018,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",144.504
2018,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_13,16.19
2018,OSREDNJESLOVENSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,4038.757
2018,OSREDNJESLOVENSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",2246.5260000000003
2018,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_12,46.48
2018,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,687.0169999999999
2018,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,254.25
2018,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_03,3370.5339999999997
2018,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,187.8
2018,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_05,405
2018,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_12,2021.864
2018,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",4238.6900000000005
