year,statistical_region,waste_code,type_of_waste,waste_category,waste_stored_start_year,waste_stored_end_year,waste_stored_change
2019,SAVINJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,34.52,45.1,10.58
2019,SAVINJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,528.32,1377.46,849.14
2019,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,5.456,1.688,-3.7680000000000007
2019,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,360.728,110.56,-250.168
2019,SAVINJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2.15,0,-2.15
2019,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,67.133,33.41,-33.723
2019,ZASAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,35.874,38.11,2.235999999999997
2020,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,8.587,6.193,-2.394
2020,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,4.411,1.273,-3.138
2020,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,130.89,234.3,103.41000000000003
2020,GORIŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,5.74,12.08,6.34
2020,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,46.412,29.136,-17.276
2020,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,65.908,24.644,-41.264
2020,GORIŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,154.946,320.414,165.468
2020,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,4.99,0.07,-4.92
2020,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,71.999,10,-61.998999999999995
2020,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,820.75,830.96,10.210000000000036
2020,GORIŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,145,19.9,-125.1
2020,JUGOVZHODNA SLOVENIJA,03 01 01,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,0.355,0.355,0
2020,JUGOVZHODNA SLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,9805.737,13866.59,4060.853000000001
2020,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,20.34,42.212,21.872000000000003
2020,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,82.412,168.64,86.22799999999998
2020,JUGOVZHODNA SLOVENIJA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,119.262,0,-119.262
2020,JUGOVZHODNA SLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,2391.211,2945.321,554.1100000000001
2020,KOROŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,11.78,23.81,12.03
2020,KOROŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,19.06,16.26,-2.799999999999997
2020,KOROŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,43.015,13.824,-29.191000000000003
2020,OBALNO-KRAŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,61.64,14.56,-47.08
2020,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,2.94,2.94
2020,OBALNO-KRAŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1.9,3.7,1.8000000000000003
2020,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,18.922,14,-4.922000000000001
2020,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,39.32,3.46,-35.86
2020,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,40.99,40.99
2020,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2058.77,2096.947,38.177000000000135
2020,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,674.483,208.708,-465.775
2020,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.916,1.735,-4.181
2020,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,30.86,23.59,-7.27
2020,PODRAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,82.64,111.2,28.560000000000002
2020,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.321,40.853,40.532000000000004
2020,PODRAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,939.24,96.6,-842.64
2020,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,169.855,212.12,42.265000000000015
2020,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.144,5.84,5.696
2020,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,10.441,4.542,-5.899000000000001
2020,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,51.748,8.601,-43.147
2020,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,28.37,0,-28.37
2020,POSAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,3.44,0,-3.44
2020,POSAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,21.65,2.93,-18.72
2020,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,27.131,10.56,-16.570999999999998
2020,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,17.269,1.607,-15.661999999999999
2020,POSAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,5,4,-1
2020,POSAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,6.5,4.6,-1.9000000000000004
2020,PRIMORSKO-NOTRANJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,0,0
2020,SAVINJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0,26.7,26.7
2020,SAVINJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,35.927,7.716,-28.211
2020,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,191.94,91.28,-100.66
2020,SAVINJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,22.12,37.52,15.400000000000002
2020,SAVINJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,1377.46,0,-1377.46
2020,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1.688,7.832,6.144
2020,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,110.56,76.39,-34.17
2020,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,33.41,48.885,15.475000000000001
2020,ZASAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,38.62,38.62
2020,ZASAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,38.11,13.942,-24.168
2020,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,1.68,1.68
2020,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,9.463,20024.555,20015.092
2020,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,13.59,5135.703,5122.113
2020,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,782.494,782.494
2020,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0.005,2732.445,2732.44
2020,OSREDNJESLOVENSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,0.03,17.22,17.189999999999998
2020,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1.43,6458.126,6456.696
2020,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0.01,106.05,106.03999999999999
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,503.986,503.986
2020,PODRAVSKA,02 01 07,Forestry Waste (02 01 07),Agricultural/Forestry Waste,0,2.38,2.38
2020,PODRAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0,88.54,88.54
2020,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,8.476,7080.13,7071.654
2020,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,1.2,2441.996,2440.7960000000003
2020,PODRAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,297.246,297.246
2020,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,5.719,3291.052,3285.333
2020,PODRAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,1967.84,1967.84
2020,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2.2,895.339,893.139
2020,POMURSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0.05,2083.68,2083.6299999999997
2020,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.82,2349.266,2348.446
2020,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.3,666.207,665.907
2020,POMURSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,3.82,3.82
2020,POMURSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,1.072,1.072
2020,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0,132.261,132.261
2020,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,24.724,24.724
2020,POMURSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,71.19,71.19
2020,POSAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0,21.26,21.26
2020,POSAVSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,5555.076,9963.64,4408.563999999999
2020,POSAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.18,1135.861,1135.681
2020,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,99,563.811,464.81100000000004
2020,POSAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,6.6,6.6
2020,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0,194.895,194.895
2020,POSAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,475.72,475.72
2020,POSAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,266,266
2020,PRIMORSKO-NOTRANJSKA,03 03 01,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,0,10.66,10.66
2020,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,9.256,1333.768,1324.512
2020,PRIMORSKO-NOTRANJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.2,703.21,703.01
2020,PRIMORSKO-NOTRANJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,76.7,76.7
2020,PRIMORSKO-NOTRANJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0,387.201,387.201
2020,PRIMORSKO-NOTRANJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,33.54,33.54
2020,PRIMORSKO-NOTRANJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,27.54,27.54
2020,SAVINJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0,41.825,41.825
2020,SAVINJSKA,03 01 99,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,0,1233.88,1233.88
2020,SAVINJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,4.689,12611.694,12607.005
2020,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,4.4,3777.445,3773.045
2020,SAVINJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,323.632,323.632
2020,SAVINJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,47.48,47.48
2020,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.17,788.676,788.5060000000001
2020,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0.95,91.075,90.125
2020,SAVINJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,55.607,55.607
2020,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.778,801.126,799.348
2020,ZASAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.62,452.89,452.27
2020,ZASAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,0.06,0.06
2020,ZASAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0,470.003,470.003
2020,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,3.52,3.52
2020,ZASAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,10.86,10.86
2021,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.1,17.689,17.589
2021,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,0.3,0.3
2021,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,1.273,5.123,3.8500000000000005
2021,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,234.3,219.384,-14.916000000000025
2021,GORIŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,12.08,1.82,-10.26
2021,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,29.136,74.773,45.637
2021,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,24.644,68.944,44.300000000000004
2021,GORIŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,320.414,197.834,-122.57999999999998
2021,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0.07,0,-0.07
2021,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,10,47.46,37.46
2021,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,830.96,234.2,-596.76
2021,GORIŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19.9,13.65,-6.249999999999998
2021,JUGOVZHODNA SLOVENIJA,03 01 01,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,0.355,0.355,0
2021,JUGOVZHODNA SLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,13866.59,13962.146,95.5560000000005
2021,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,42.212,45.293,3.080999999999996
2021,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,168.64,184.785,16.14500000000001
2021,JUGOVZHODNA SLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,2945.321,3150.781,205.46000000000004
2021,KOROŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,23.81,11.635,-12.174999999999999
2021,KOROŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,8.738,8.738
2021,KOROŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,16.26,31.61,15.349999999999998
2021,KOROŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,13.824,26.733,12.909
2021,OBALNO-KRAŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,14.56,22.68,8.12
2021,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,2.94,0,-2.94
2021,OBALNO-KRAŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,3.7,2.94,-0.7600000000000002
2021,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,9.29,9.29
2021,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,3.46,0,-3.46
2021,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2096.947,3414.992,1318.045
2021,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,167.417,167.417
2021,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.895,7.593,6.698
2021,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,23.59,18.22,-5.370000000000001
2021,PODRAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,111.2,131.53,20.33
2021,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,40.853,62.795,21.942
2021,PODRAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,96.6,130.48,33.879999999999995
2021,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,212.12,337.015,124.89499999999998
2021,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.84,17.719,11.879000000000001
2021,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,4.542,6.013,1.471
2021,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,8.601,28.92,20.319000000000003
2021,POSAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0,6.3,6.3
2021,POSAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,2.93,36.193,33.263
2021,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,10.56,10.834,0.27399999999999913
2021,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1.607,33.741,32.134
2021,POSAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,4,10,6
2021,POSAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,4.6,5,0.40000000000000036
2021,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,0.506,0.506
2021,SAVINJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,0,12.18,12.18
2021,SAVINJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,7.716,3.898,-3.818
2021,SAVINJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,76.66,36.24,-40.419999999999995
2021,SAVINJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,37.52,22.89,-14.630000000000003
2021,SAVINJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,7.832,33.78,25.948
2021,SAVINJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,76.39,74.18,-2.2099999999999937
2021,ZASAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,48.885,9.044,-39.840999999999994
2021,ZASAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,38.62,0,-38.62
2021,ZASAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,13.942,15.115,1.173
2021,ZASAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1.68,0,-1.68
2022,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,17.689,3.524,-14.165
2022,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,32,32
2022,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0.3,0.3,0
2022,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,5.123,11.743,6.62
2022,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,211.019,44.659,-166.36
2022,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,0,0
2022,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,0,0
2022,GORIŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,1.82,13.185,11.365
2022,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,74.773,367.34,292.567
2022,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,68.944,13.42,-55.524
2022,GORIŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,197.834,204.319,6.484999999999985
2022,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,47.46,417.424,369.964
2022,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,234.2,82.52,-151.68
2022,GORIŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,13.65,14.3,0.6500000000000004
2022,JUGOVZHODNA SLOVENIJA,03 01 01,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,0,0,0
2022,JUGOVZHODNA SLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,13962.146,18058.846,4096.700000000001
2022,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,45.293,100.757,55.464000000000006
2022,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,184.785,187.882,3.0970000000000084
2022,JUGOVZHODNA SLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,3150.781,3534.633,383.85199999999986
2022,KOROŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,11.635,5.526,-6.109
2022,KOROŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,8.738,51.56,42.822
2022,KOROŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,31.61,31.61,0
2022,KOROŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,26.733,15.628,-11.105
2022,OBALNO-KRAŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,22.68,2.62,-20.06
2022,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,7.554,7.554
2022,OBALNO-KRAŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0,350,350
2022,OBALNO-KRAŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2.94,8.5,5.5600000000000005
2022,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,9.29,68.77,59.48
2022,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,4.695,4.695
2022,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,2.958,0,-2.958
2022,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,3414.992,657.507,-2757.485
2022,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,6.536,79.108,72.572
2022,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,28.22,8.3,-19.919999999999998
2022,PODRAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,131.53,268.415,136.88500000000002
2022,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,62.795,18.751,-44.044
2022,PODRAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,455.097,148.56,-306.537
2022,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,338.435,237.004,-101.43100000000001
2022,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,17.719,17.736,0.01699999999999946
2022,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,6.013,4.883,-1.13
2022,POMURSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,28.92,25.398,-3.522000000000002
2022,POMURSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,4.46,0,-4.46
2022,POMURSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,1.57,1.57
2022,POSAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,6.3,0,-6.3
2022,POSAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,36.193,61.095,24.902
2022,POSAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,10.834,10.78,-0.05400000000000027
2022,POSAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,33.741,4.095,-29.646
2022,POSAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,10,0.3,-9.7
2022,POSAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,5,0.5,-4.5
2022,PRIMORSKO-NOTRANJSKA,03 01 01,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,0,2.46,2.46
2022,PRIMORSKO-NOTRANJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0.506,2.784,2.2779999999999996
2022,PRIMORSKO-NOTRANJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,0.06,0.06
2022,PRIMORSKO-NOTRANJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2.96,0,-2.96
2022,PRIMORSKO-NOTRANJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,1.99,1.99
