"year","name_of_company","waste_code","type_of_waste","waste_category","total_waste_collected","municipal_waste_collected","waste_collected_from_activities","pct_municipal"
2019,"KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",600.82,571.96,28.86,95.19656469491694
2019,"KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",25.95,25.95,0,100
2019,"KOMUNALA TREBNJE d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",114.12,114.12,0,100
2019,"KOMUNALA TREBNJE d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",86.28,86.28,0,100
2019,"KOMUNALA TREBNJE d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",386.34,366.86,19.48,94.95780918362065
2019,"KOMUNALA TREBNJE d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",210.86,210.86,0,100
2019,"KOMUNALA TRŽIČ d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",121.78,98.642,23.138,81.00016423057973
2019,"KOMUNALA TRŽIČ d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",97.442,97.442,0,100
2019,"KOMUNALA TRŽIČ d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",225.9,225.9,0,100
2019,"KOMUNALA TRŽIČ d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",494.14,494.14,0,100
2019,"KOMUNALA, javno podjetje, Kranjska Gora, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",121.205,82,39.205,67.65397467101192
2019,"KOMUNALA, javno podjetje, Kranjska Gora, d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",84.19,84.19,0,100
2019,"KOMUNALA, javno podjetje, Kranjska Gora, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",54.662,42.662,12,78.04690644323296
2019,"KOMUNALA, javno podjetje, Kranjska Gora, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",9.34,9.34,0,100
2019,"KOMUNALA, javno podjetje, Kranjska Gora, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",293.54,293.54,0,100
2019,"KOMUNALNO PODJETJE ORMOŽ d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",118.974,82.554,36.42,69.38826970598619
2019,"KOMUNALNO PODJETJE ORMOŽ d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",116.326,116.326,0,100
2019,"KOMUNALNO PODJETJE ORMOŽ d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",6.16,0,6.16,0
2019,"KOMUNALNO PODJETJE ORMOŽ d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",262.48,259.985,2.495,99.04945138677232
2019,"KOMUNALNO PODJETJE PTUJ D.D.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",102.125,96.588,5.537,94.57821297429619
2019,"KOMUNALNO PODJETJE PTUJ D.D.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",266.984,239.522,27.462,89.71399035148174
2019,"KOMUNALNO PODJETJE PTUJ D.D.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",219.24,219.24,0,100
2019,"KOMUNALNO PODJETJE PTUJ D.D.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",470.722,470.722,0,100
2019,"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",241.305,220.835,20.47,91.51695986407245
2019,"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",484.385,479.315,5.07,98.95331193162464
2019,"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",124.07,11.17,112.9,9.002982187474814
2019,"KOMUNALNO STANOVANJSKA DRUŽBA d.o.o. Ajdovščina","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",344.669,300.879,43.79,87.29505699671279
2019,"KOMUNALNO STANOVANJSKO PODJETJE d.d.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",257.992,244.143,13.849,94.63200409315017
2019,"KOMUNALNO STANOVANJSKO PODJETJE d.d.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",674.212,674.212,0,100
2019,"KOMUNALNO STANOVANJSKO PODJETJE d.d.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",277.08,277.08,0,100
2019,"KOMUNALNO STANOVANJSKO PODJETJE d.d.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",217.38,217.38,0,100
2019,"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",131.4,16,115.4,12.1765601217656
2019,"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",170.227,150.227,20,88.25098251158747
2019,"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",107.89,90,17.89,83.41829641301325
2019,"KOMUNALNO-STANOVANJSKO PODJETJE LJUTOMER d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1297.56,1209.79,87.77,93.23576559080121
2019,"KSP HRASTNIK Komunalno - stanovanjsko podjetje, d.d.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",71.89,71.89,0,100
2019,"KSP HRASTNIK Komunalno - stanovanjsko podjetje, d.d.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",52.42,52.42,0,100
2019,"Komunala Tolmin, javno podjetje, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",316.378,256.266,60.112,80.9999431060314
2019,"Komunala Tolmin, javno podjetje, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",267.478,216.657,50.821,80.99993270474582
2019,"Komunala Tolmin, javno podjetje, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",523.22,423.808,99.412,80.9999617751615
2019,"Komunala Tolmin, javno podjetje, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",227.03,183.894,43.136,80.99986785887327
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",610.1,527.02,83.08,86.38256023602688
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",113.36,113.36,0,100
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",906.103,97.527,808.576,10.763345888933157
2019,"Kostak, komunalno in gradbeno podjetje, d.d.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",340.64,241.04,99.6,70.76092062000939
2019,"LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",359.42,287.54,71.88,80.00111290412332
2019,"LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",281.91,77.82,204.09,27.604554645099494
2019,"LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",447.779,358.22,89.559,79.99928536175213
2019,"LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",430.86,366.98,63.88,85.17383836977208
2019,"NATURA VePo družba za komunalne storitve d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",14.06,14.06,0,100
2019,"NATURA VePo družba za komunalne storitve d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4.28,4.28,0,100
2019,"NATURA VePo družba za komunalne storitve d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",10.56,10.56,0,100
2019,"OBČINA BLOKE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",8.423,8.423,0,100
2019,"OBČINA BOHINJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",50,20,30,40
2019,"OBČINA BOHINJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",93.797,60.968,32.829,64.99994669339105
2019,"OBČINA BOHINJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",292.9,279.4,13.5,95.39091840218504
2019,"OBČINA GORENJA VAS-POLJANE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",32.814,32.814,0,100
2019,"OBČINA GORENJA VAS-POLJANE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",88.44,88.44,0,100
2019,"OBČINA GORENJA VAS-POLJANE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",78.58,78.58,0,100
2019,"OBČINA GORENJA VAS-POLJANE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",143.94,143.94,0,100
2019,"OBČINA ŽIRI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",29.394,21,8.394,71.44315166360482
2019,"OBČINA ŽIRI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",103.59,90,13.59,86.88097306689835
2019,"OBČINA ŽIRI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",101.66,101.66,0,100
2019,"OBČINA ŽIRI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",156.46,150.46,6,96.16515403297967
2019,"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",163.408,116.458,46.95,71.26823656124547
2019,"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.14,0.14,0,100
2019,"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",245.789,208.039,37.75,84.64129802391483
2019,"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",61.23,49.04,12.19,80.09145843540747
2019,"OKP JAVNO PODJETJE ZA KOMUNALNE STORITVE Rogaška Slatina, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",892.14,855.51,36.63,95.89414217499495
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",765.3,182.27,583.03,23.81680386776428
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",80.59,0,80.59,0
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",729.13,729.13,0,100
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",406.76,265.31,141.45,65.22519421772053
2019,"PUBLIKUS gospodarjenje z odpadki d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1965.87,1568.45,397.42,79.78401420236334
2019,"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",306.5,266.739,39.761,87.0274061990212
2019,"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",896.955,752.384,144.571,83.882023066932
2019,"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1222.822,979.302,243.52,80.08540899656697
2019,"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",798.25,652.481,145.769,81.73892890698403
2019,"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",288.804,284.58,4.224,98.53741637927453
2019,"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1301.941,1279.82,22.121,98.30092147032776
2019,"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",573.46,544.72,28.74,94.98831653471908
2019,"SAUBERMACHER - KOMUNALA - podjetje za odstranjevanje odpadkov Murska Sobota d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1681.44,1592.28,89.16,94.69740222666286
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",545.051,0,545.051,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",860.2,0,860.2,0
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",112.352,110.252,2.1,98.13087439475932
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",764.748,547.293,217.455,71.56514302750709
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2868.79,2509.146,359.644,87.46356477818175
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",626.909,353.577,273.332,56.40005168214206
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1942.451,1364.297,578.154,70.235851509253
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",958.957,936.097,22.86,97.61616005722884
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",7092.546,5784.558,1307.988,81.55827258645908
2019,"SNAGA Javno podjetje d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",522.647,371.079,151.568,70.99992920651988
2019,"SNAGA Javno podjetje d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",66.18,66.18,0,100
2019,"SNAGA Javno podjetje d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3002.223,2131.578,870.645,70.99998900814496
2019,"SNAGA Javno podjetje d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1653.52,1587.36,66.16,95.99883884077603
2019,"SNAGA Javno podjetje d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2070.46,1817.44,253.02,87.77952725481293
2019,"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",649.668,519.07,130.598,79.89773238023115
2019,"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",16.24,0,16.24,0
2019,"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3353.598,3321.938,31.66,99.0559393224829
2019,"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5386.28,4838.9,547.38,89.83751308881082
2019,"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3086.11,2787.64,298.47,90.32860137843434
2019,"ČISTO MESTO PTUJ podjetje za gospodarjenje z odpadki d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",263.808,263.808,0,100
2019,"ČISTO MESTO PTUJ podjetje za gospodarjenje z odpadki d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",675.962,633.731,42.231,93.75245945778016
2019,"ČISTO MESTO PTUJ podjetje za gospodarjenje z odpadki d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",382.689,345.794,36.895,90.3590121482457
2019,"ČISTO MESTO PTUJ podjetje za gospodarjenje z odpadki d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1029.638,898.358,131.28,87.24988782465294
